            main2.py [LINE:120 ] INFO     [2025-10-30 23:29:36,505] Абитуриент 1159392472 вызвал /start
            main2.py [LINE:149 ] INFO     [2025-10-30 23:29:38,684] Абитуриент 1159392472 выбрал группу СПД-103
            main2.py [LINE:163 ] INFO     [2025-10-30 23:29:41,018] Пользователь 1159392472 выбрал роль: Абитуриент
            main2.py [LINE:179 ] INFO     [2025-10-30 23:29:51,568] Абитуриент 1159392472 ввел логин: D.Starshinov
            main2.py [LINE:194 ] INFO     [2025-10-30 23:30:02,123] DEBUG: Успешная авторизация для D.Starshinov
            main2.py [LINE:203 ] INFO     [2025-10-30 23:30:02,516] Абитуриент 1159392472 успешно авторизован как D.Starshinov
            main2.py [LINE:308 ] INFO     [2025-10-30 23:30:04,524] Студент D.Starshinov открыл раздел расписания
            main2.py [LINE:219 ] INFO     [2025-10-30 23:30:09,415] DEBUG: user_id=1159392472, current_login=D.Starshinov
            main2.py [LINE:233 ] INFO     [2025-10-30 23:30:09,428] Студент D.Starshinov запросил свой табель
            main2.py [LINE:293 ] INFO     [2025-10-30 23:30:09,657] Табель успешно отправлен студенту D.Starshinov
            main2.py [LINE:120 ] INFO     [2025-10-31 00:13:17,178] Абитуриент 7867595667 вызвал /start
            main2.py [LINE:149 ] INFO     [2025-10-31 00:13:20,456] Абитуриент 7867595667 выбрал группу СПД-103
            main2.py [LINE:163 ] INFO     [2025-10-31 00:13:22,804] Пользователь 7867595667 выбрал роль: Абитуриент
            main2.py [LINE:179 ] INFO     [2025-10-31 00:13:26,627] Абитуриент 7867595667 ввел логин: K.Ziganshin
            main2.py [LINE:194 ] INFO     [2025-10-31 00:13:39,745] DEBUG: Успешная авторизация для K.Ziganshin
            main2.py [LINE:203 ] INFO     [2025-10-31 00:13:39,935] Абитуриент 7867595667 успешно авторизован как K.Ziganshin
            main2.py [LINE:219 ] INFO     [2025-10-31 00:13:42,963] DEBUG: user_id=7867595667, current_login=K.Ziganshin
            main2.py [LINE:233 ] INFO     [2025-10-31 00:13:42,976] Студент K.Ziganshin запросил свой табель
            main2.py [LINE:293 ] INFO     [2025-10-31 00:13:43,121] Табель успешно отправлен студенту K.Ziganshin
            main2.py [LINE:462 ] INFO     [2025-10-31 00:13:54,042] Студент K.Ziganshin запросил приоритеты
            main2.py [LINE:519 ] INFO     [2025-10-31 00:13:54,163] Приоритеты успешно отправлены студенту K.Ziganshin
            main2.py [LINE:308 ] INFO     [2025-10-31 00:14:00,830] Студент K.Ziganshin открыл раздел расписания
            main2.py [LINE:338 ] INFO     [2025-10-31 00:14:03,439] Студент K.Ziganshin запросил расписание на today
            main2.py [LINE:345 ] INFO     [2025-10-31 00:14:03,445] DEBUG: Обработка периода 'today'
            main2.py [LINE:352 ] INFO     [2025-10-31 00:14:03,449] DEBUG: Сегодня - дата: 2025-10-31, день: friday, неделя: even
            main2.py [LINE:376 ] INFO     [2025-10-31 00:14:03,500] DEBUG: Получено расписаний: 4
            main2.py [LINE:445 ] INFO     [2025-10-31 00:14:04,082] Расписание на today успешно отправлено студенту K.Ziganshin
